                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.75897,                0.46139,                0.86994,                0.87625,                0.82647,                0.86551,                0.59928,                0.97887,                 0.6154,                 0.9665,             0.00088882,             0.00088882,             0.00088882
                    103,                0.76489,                0.46269,                0.87834,                0.86266,                0.84405,                0.85912,                0.59793,                0.98085,                 0.6076,                0.97152,             0.00088662,             0.00088662,             0.00088662
                    104,                0.75805,                0.46149,                0.86514,                0.88244,                0.81583,                0.84844,                0.59883,                 1.0037,                0.62938,                  0.991,             0.00088442,             0.00088442,             0.00088442
                    105,                0.74659,                0.44992,                0.86803,                0.83316,                0.83749,                0.85083,                0.60487,                 0.9653,                  0.621,                0.96671,             0.00088222,             0.00088222,             0.00088222
                    106,                0.75191,                0.45711,                0.86966,                0.81727,                0.82778,                0.83525,                0.59365,                0.97017,                0.61661,                0.98114,             0.00088002,             0.00088002,             0.00088002
                    107,                 0.7583,                0.45857,                0.87338,                0.85582,                 0.8443,                0.85983,                0.60159,                0.96773,                 0.6277,                0.96882,             0.00087782,             0.00087782,             0.00087782
                    108,                0.74856,                0.45876,                0.86553,                0.86369,                0.81338,                0.84885,                0.59819,                0.97204,                0.61428,                0.96631,             0.00087562,             0.00087562,             0.00087562
                    109,                0.74234,                0.45221,                0.86584,                0.84732,                0.83903,                0.86481,                0.60915,                0.96865,                 0.6165,                0.97216,             0.00087342,             0.00087342,             0.00087342
                    110,                0.75802,                0.46317,                0.87196,                0.87161,                 0.8345,                0.86107,                0.59758,                0.98584,                0.61175,                0.97829,             0.00087122,             0.00087122,             0.00087122
                    111,                0.75232,                0.45442,                0.86915,                0.88274,                0.82975,                0.86607,                0.61856,                0.97401,                0.63583,                0.98453,             0.00086902,             0.00086902,             0.00086902
                    112,                0.74849,                0.45541,                0.87176,                0.83826,                0.82474,                0.83877,                0.59024,                0.97615,                0.62083,                0.98033,             0.00086682,             0.00086682,             0.00086682
                    113,                0.74652,                 0.4539,                0.86938,                0.87126,                0.82008,                0.85234,                0.60829,                0.96524,                0.58307,                0.97624,             0.00086462,             0.00086462,             0.00086462
                    114,                0.74058,                0.44885,                0.86776,                0.91902,                0.78611,                0.85157,                0.59765,                0.95335,                0.61256,                0.96711,             0.00086242,             0.00086242,             0.00086242
                    115,                0.73626,                0.45314,                  0.868,                0.86922,                0.79951,                0.84586,                0.59505,                0.96892,                0.63565,                0.97514,             0.00086023,             0.00086023,             0.00086023
                    116,                0.74074,                0.45241,                 0.8626,                0.83378,                0.83757,                0.84991,                0.59874,                0.96432,                0.61656,                0.97854,             0.00085803,             0.00085803,             0.00085803
                    117,                 0.7316,                0.44972,                0.86903,                0.88076,                0.83324,                0.85874,                0.61315,                0.95867,                0.59677,                0.97952,             0.00085583,             0.00085583,             0.00085583
                    118,                0.73264,                0.44436,                0.86661,                0.87454,                0.83563,                0.85756,                0.61063,                 0.9489,                0.60707,                0.96594,             0.00085363,             0.00085363,             0.00085363
                    119,                0.72355,                0.44032,                0.86605,                0.85914,                0.83432,                0.86588,                 0.6225,                0.93179,                 0.5885,                0.95947,             0.00085143,             0.00085143,             0.00085143
                    120,                0.72045,                0.44085,                0.86384,                0.87601,                0.84957,                0.87071,                0.61467,                0.95908,                0.58421,                0.97654,             0.00084923,             0.00084923,             0.00084923
                    121,                0.71977,                0.43844,                0.86687,                0.89596,                0.85737,                0.86638,                0.61239,                0.97898,                0.59715,                0.98576,             0.00084703,             0.00084703,             0.00084703
                    122,                0.72133,                0.43708,                0.86555,                0.87549,                0.79496,                0.85756,                0.60931,                0.96233,                0.60278,                0.98238,             0.00084483,             0.00084483,             0.00084483
                    123,                0.72965,                0.44284,                0.86493,                0.86964,                0.83995,                 0.8701,                0.62498,                0.94306,                0.59296,                0.96424,             0.00084263,             0.00084263,             0.00084263
                    124,                0.72352,                0.43885,                0.86412,                0.86656,                0.82146,                0.85389,                0.60281,                0.95102,                 0.5867,                0.97969,             0.00084043,             0.00084043,             0.00084043
                    125,                0.70629,                0.43114,                0.85785,                0.85885,                0.82793,                0.85173,                0.61502,                0.93909,                0.58479,                 0.9733,             0.00083823,             0.00083823,             0.00083823
                    126,                0.71666,                0.43829,                0.86243,                0.88396,                0.83461,                0.87171,                0.63219,                0.94245,                0.57393,                0.96562,             0.00083603,             0.00083603,             0.00083603
